id,common_name,current_distribution,family,federal_listing_status,scientific_name,image,photo_credit
1,"Auriculate false-foxglove","AR, IL, IN, KS, MD, MI, MN, MO, MS, OH, OK, PA, SC, TN, TX, VA, WI, WV;",Scrophulariaceae,"Not Listed","Agalinis auriculata",https://live.staticflickr.com/65535/53411161716_035efe01a1_z.jpg,https://www.wildflower.org/gallery/result.php?id_image=87350
2,"No common name",MO;,Fabaceae,"Not Listed","Amorpha canescens",https://live.staticflickr.com/65535/53411607415_0612864992_z.jpg,https://www.wildflower.org/gallery/result.php?id_image=8967
3,"No common name","AR, IN, MI, MO, WI;",Brassicaceae,"Not Listed","Arabis missouriensis deamii",https://live.staticflickr.com/65535/53411337503_ef2d045aa0_z.jpg,https://www.wildflower.org/gallery/result.php?id_image=45129
4,"Mead's milkweed","IA, IL, IN, KS, MO, WI; U.S.A. (WI, MO, KS, IN, IL, IA)",Asclepiadaceae,Threatened,"Asclepias meadii",https://live.staticflickr.com/65535/53410240592_6e1d782cc3_b.jpg,https://www.fs.usda.gov/wildflowers/plant-of-the-week/images/meadsmilkweed/asclepias_meadii_full.jpg
5,"Scott's spleenwort","AL, AR, CT, DE, GA, IL, MA, MO, NC, NJ, OH, PA, TN, VA, WV;",Aspleniaceae,"Not Listed","Asplenium ebenoides",https://live.staticflickr.com/65535/53410240672_5e86a626a5_h.jpg,https://www.pumpkinbeth.com/plants/asplenium-x-ebenoides/
6,"Decurrent false aster","IL, MO; U.S.A. (MO, IL)",Asteraceae,Threatened,"Boltonia decurrens",https://live.staticflickr.com/65535/53411337648_70a1ebac01_c.jpg,https://www.missouribotanicalgarden.org/PlantFinder/FullImageDisplay.aspx?documentid=7865
7,"Ofer Hollow reedgrass","AR, IL, KY, MO, OH;",Poaceae,"Not Listed","Calamagrostis porteri insperata",https://live.staticflickr.com/65535/53410240677_80bbd2694f_k.jpg,https://www.inaturalist.org/observations/38552275
8,"[Unnamed] poppy-mallow","AR, IA, KS, MO, OK;",Malvaceae,"Not Listed","Callirhoe bushii",https://live.staticflickr.com/65535/53411337763_865d68e230_z.jpg,https://www.wildflower.org/gallery/result.php?id_image=21680
9,"Oklahoma grasspink","AR, IL, LA, MO, MS, OK, TX, WI;",Orchidaceae,"Not Listed","Calopogon oklahomensis",https://live.staticflickr.com/65535/53411161921_b376f59804_z.jpg,https://www.wildflower.org/gallery/result.php?id_image=34129
10,"[Unnamed] sedge","CT, DE, MA, MO, NC, NJ, NY, PA, VA, VT, WI;",Cyperaceae,"Not Listed","Carex schweinitzii",https://live.staticflickr.com/65535/53411607520_407248ba3c_z.jpg,https://guides.nynhp.org/media/i10030.jpg
11,"[Unnamed] sedge","AR, IL, IN, KY, MO, TN;",Cyperaceae,"Not Listed","Carex socialis",https://live.staticflickr.com/65535/53410240667_8567371627_c.jpg,https://www.babikow.com/plant-name/Carex-socialis
12,"Ozark chinquapin","AL, AR, MO, OK;",Fagaceae,"Not Listed","Castanea pumila ozarkensis",https://live.staticflickr.com/65535/53411161831_63243a2aaa_c.jpg,https://www.missouribotanicalgarden.org/PlantFinder/FullImageDisplay.aspx?documentid=19664
13,"No common name","AR, IA, IL, IN, KY, MI, MO;",Scrophulariaceae,"Not Listed","Chelone obliqua speciosa",https://live.staticflickr.com/65535/53410240657_bc894fe1c7_c.jpg,https://en.wikipedia.org/wiki/Chelone_obliqua#/media/File:Lamiales_-_Chelone_obliqua_-_1.jpg
14,"No common name","AL, AR, GA, IL, IN, KY, MO, MS, NC, OK, SC, TN;",Fabaceae,"Not Listed","Cladrastis kentukea",https://live.staticflickr.com/65535/53411607625_84fa0364ba_z.jpg,https://www.wildflower.org/gallery/result.php?id_image=42903
15,"Umbrella sedge","IL, LA, MO, TX;",Cyperaceae,"Not Listed","Cyperus grayoides",https://live.staticflickr.com/65535/53411337753_a212cfc542_z.jpg,https://www.wildflower.org/gallery/result.php?id_image=48806
16,"Small white lady's-slipper","AL, DE, IA, IL, IN, KY, MD, MI, MN, MO, ND, NE, NJ, NY, OH, PA, SD, WI;",Orchidaceae,"Not Listed","Cypripedium candidum",https://live.staticflickr.com/65535/53411493099_0515a1948e_z.jpg,https://www.wildflower.org/gallery/result.php?id_image=6898
